收到1个码字的时候,共解码出1个数据
收到3个码字的时候,共解码出2个数据
收到4个码字的时候,共解码出3个数据
收到6个码字的时候,共解码出4个数据
收到7个码字的时候,共解码出6个数据
收到8个码字的时候,共解码出7个数据
收到10个码字的时候,共解码出8个数据
收到12个码字的时候,共解码出9个数据
收到14个码字的时候,共解码出10个数据
收到16个码字的时候,共解码出11个数据
收到17个码字的时候,共解码出12个数据
收到19个码字的时候,共解码出13个数据
收到20个码字的时候,共解码出14个数据
收到22个码字的时候,共解码出16个数据
收到23个码字的时候,共解码出17个数据
收到25个码字的时候,共解码出18个数据
收到28个码字的时候,共解码出19个数据
收到30个码字的时候,共解码出20个数据
收到32个码字的时候,共解码出21个数据
收到36个码字的时候,共解码出25个数据
收到41个码字的时候,共解码出26个数据
收到43个码字的时候,共解码出27个数据
收到45个码字的时候,共解码出28个数据
收到56个码字的时候,共解码出29个数据
收到57个码字的时候,共解码出30个数据
收到58个码字的时候,共解码出31个数据
收到59个码字的时候,共解码出32个数据
收到63个码字的时候,共解码出33个数据
收到64个码字的时候,共解码出34个数据
收到68个码字的时候,共解码出35个数据
收到69个码字的时候,共解码出36个数据
收到75个码字的时候,共解码出38个数据
收到78个码字的时候,共解码出39个数据
收到79个码字的时候,共解码出40个数据
收到80个码字的时候,共解码出44个数据
收到81个码字的时候,共解码出45个数据
收到83个码字的时候,共解码出50个数据
收到85个码字的时候,共解码出52个数据
收到89个码字的时候,共解码出53个数据
收到91个码字的时候,共解码出54个数据
收到92个码字的时候,共解码出56个数据
收到98个码字的时候,共解码出57个数据
收到99个码字的时候,共解码出58个数据
收到107个码字的时候,共解码出59个数据
收到108个码字的时候,共解码出61个数据
收到111个码字的时候,共解码出62个数据
收到112个码字的时候,共解码出64个数据
收到113个码字的时候,共解码出66个数据
收到114个码字的时候,共解码出67个数据
收到119个码字的时候,共解码出70个数据
收到127个码字的时候,共解码出71个数据
收到130个码字的时候,共解码出72个数据
收到135个码字的时候,共解码出73个数据
收到138个码字的时候,共解码出75个数据
收到143个码字的时候,共解码出76个数据
收到144个码字的时候,共解码出77个数据
收到145个码字的时候,共解码出80个数据
收到148个码字的时候,共解码出84个数据
收到152个码字的时候,共解码出85个数据
收到155个码字的时候,共解码出86个数据
收到163个码字的时候,共解码出87个数据
收到166个码字的时候,共解码出88个数据
收到167个码字的时候,共解码出89个数据
收到169个码字的时候,共解码出91个数据
收到179个码字的时候,共解码出92个数据
收到180个码字的时候,共解码出93个数据
收到185个码字的时候,共解码出94个数据
收到187个码字的时候,共解码出95个数据
收到208个码字的时候,共解码出96个数据
收到246个码字的时候,共解码出97个数据
收到249个码字的时候,共解码出98个数据
收到262个码字的时候,共解码出99个数据
收到265个码字的时候,共解码出100个数据
